Word,Transliteration,English_Translation
में,mẽ,In
है,hai,Is
हैं,ha͠i,Are
नहीं,nahī̃,No
लिए,lie,For
गया,gayā,Went
तथा,tathā,And
अपने,apne,Our
कुछ,kuch,Some?
साथ,sāth,with
होता,hotā,Would
था,thā,Was
दिया,diyā,Gave
हुए,hue,Has
कोई,koī,Any
रूप,rūp,Form
से,se,From
मैं,ma͠i,I
रहा,rahā,Stayed
हुआ,huā,Happened
बात,bāt,talk
कहा,kahā,Said
समय,samay,Time
क्या,kyā,What
अपनी,apnī,Own
होती,hotī,Happiness
प्रकार,prakār,Type
बहुत,bahut,Very
तरह,tarah,Kind
बाद,bād,after
फिर,phir,Then
रहे,rahe,are
द्वारा,dvārā,By
अधिक,adhik,More
रही,rahī,doing
होने,hone,Having
एवं,evã,And
हुई,huī,Hui
थे,the,Were
उनके,unke,Their
थी,thī,Was
वाले,vāle,Wale
चाहिए,cāhie,Needed
दिन,din,Day
लेकिन,lekin,But
काम,kām,Work
हूँ,hū̃,am
होते,hote,Having
इसके,iske,Its
उन्हें,unhẽ,Them
गये,gaye,Gone
कभी,kabhī,Sometimes
आदि,ādi,Etcetera
लोग,log,People
बार,bār,Times
यहाँ,yahā̃,Here
दोनों,donõ,Both
उन्होंने,unhonne,They
कार्य,kārya,Work
पास,pās,Near
वहाँ,vahā̃,There
भारत,bhārat,India
लिया,liyā,took
प्राप्त,prāpt,get
उनकी,unkī,His
लोगों,logõ,People
गयी,gayī,Gone
लगा,lagā,Put
अन्य,anya,Other
होगा,hogā,will be
इसी,isī,This 
देश,deś,Country
यदि,yadi,If
सभी,sabhī,All
नाम,nām,Name
वर्ष,varṣ,Year
ऐसा,aisā,As such
विकास,vikās,Development
अपना,apnā,own
ऐसे,aise,This way
दूसरे,dūsre,Others
हाथ,hāth,Hand
भाषा,bhāṣā,Language
मेरे,mere,My
मैंने,mainne,I
तुम,tum,You
बीच,bīc,between
वाली,vālī,Wali
बड़े,baṛe,elder
प्रति,prati,Per
व्यक्ति,vyakti,Person
उनका,unkā,their
लिये,liye,For
इसलिए,islie,so
तीन,tīn,Three
इसका,iskā,Its
ऐसी,aisī,Such
विशेष,viśeṣ,Specific
बड़ी,baṛī,Big
अथवा,athvā,Or
भाग,bhāg,Part
क्योंकि,kyoṅki,Because
सिंह,sĩh,Lion
ठीक,ṭhīk,Correct
स्थिति,sthiti,Situation
परन्तु,parantu,But
स्थान,sthān,place
यही,yahī,This only
क्यों,kyõ,Why
गाँव,gā̃v,Village
राज्य,rājya,State
अलग,alag,apart
लेकर,lekar,With
अभी,abhī,Now!
इसमें,ismẽ,In this
विभिन्न,vibhinna,various
सी,sī,C
